"id","name","description","notes","easyScore","createdAt","updatedAt"
1,"C",,"C4 E4 G4","(C4 E4 G4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
2,"Cmaj7",,"C4 E4 G4 B4","(C4 E4 G4 B4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
3,"C7",,"C4 E4 G4 Bb4","(C4 E4 G4 Bb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
4,"Cm",,"C4 Eb4 G4","(C4 Eb4 G4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
5,"Cmin7",,"C4 Eb4 G4 Bb4","(C4 Eb4 G4 Bb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
6,"Cdim",,"C4 Eb4 Gb4","(C4 Eb4 Gb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
7,"Cm7b5",,"C4 Eb4 Gb4 Bb4","(C4 Eb4 Gb4 Bb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
8,"Cdim7",,"C4 Eb4 Gb4 Bbb4","(C4 Eb4 Gb4 Bbb4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
9,"Caug",,"C4 E4 G#4","(C4 E4 G#4)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
10,"G",,"G4 B4 D5","(G4 B4 D5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
11,"Gmaj7",,"G4 B4 D5 F#5","(G4 B4 D5 F#5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
12,"G7",,"G4 B4 D5 F5","(G4 B4 D5 F5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
13,"Gm",,"G4 Bb4 D5","(G4 Bb4 D5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
14,"Gmin7",,"G4 Bb4 D5 F5","(G4 Bb4 D5 F5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
15,"Gdim",,"G4 Bb4 Db5","(G4 Bb4 Db5)/w","2017-10-07 00:00:00-07","2017-10-07 00:00:00-07"
